year,region_num,region_name,class,data_value,data_value_type,gender
2012,16,East Kazakhstan region,Neoplasm,0.1615,total,overall
2012,1,Nur-Sultan,Neoplasm,0.0864,total,overall
2012,2,Almaty,Neoplasm,0.1261,total,overall
2013,3,Akmola region,Neoplasm,0.1547,total,overall
2013,4,Aktobe region,Neoplasm,0.1026,total,overall
2013,5,Almaty region,Neoplasm,0.077,total,overall
2013,6,Atyrau region,Neoplasm,0.0921,total,overall
2013,7,West Kazakkhstan region,Neoplasm,0.1037,total,overall
2013,8,Jambyl region,Neoplasm,0.0946,total,overall
2013,9,Karaganda region,Neoplasm,0.1298,total,overall
2013,10,Kostanay region,Neoplasm,0.1053,total,overall
2013,11,Kyzylorda region,Neoplasm,0.0866,total,overall
2013,12,Mangystau region,Neoplasm,0.0672,total,overall
2013,13,South Kazakhstan region,Neoplasm,0.0544,total,overall
2013,14,Pavlodar region,Neoplasm,0.1471,total,overall
2013,15,North Kazakhstan region,Neoplasm,0.1518,total,overall
2013,16,East Kazakhstan region,Neoplasm,0.1489,total,overall
2013,1,Nur-Sultan,Neoplasm,0.0785,total,overall
2013,2,Almaty,Neoplasm,0.1199,total,overall
2014,3,Akmola region,Neoplasm,0.1247,total,overall
2014,4,Aktobe region,Neoplasm,0.0765,total,overall
2014,5,Almaty region,Neoplasm,0.0699,total,overall
2014,6,Atyrau region,Neoplasm,0.0891,total,overall
2014,7,West Kazakkhstan region,Neoplasm,0.1046,total,overall
2014,8,Jambyl region,Neoplasm,0.089,total,overall
2014,9,Karaganda region,Neoplasm,0.1114,total,overall
2014,10,Kostanay region,Neoplasm,0.0984,total,overall
2014,11,Kyzylorda region,Neoplasm,0.0884,total,overall
2014,12,Mangystau region,Neoplasm,0.0606,total,overall
2014,13,South Kazakhstan region,Neoplasm,0.0515,total,overall
2014,14,Pavlodar region,Neoplasm,0.1457,total,overall
2014,15,North Kazakhstan region,Neoplasm,0.1422,total,overall
2014,16,East Kazakhstan region,Neoplasm,0.1483,total,overall
2014,1,Nur-Sultan,Neoplasm,0.0914,total,overall
2014,2,Almaty,Neoplasm,0.109,total,overall
2015,3,Akmola region,Neoplasm,0.1276,total,overall
2015,4,Aktobe region,Neoplasm,0.0844,total,overall
2015,5,Almaty region,Neoplasm,0.0725,total,overall
2015,6,Atyrau region,Neoplasm,0.0949,total,overall
2015,7,West Kazakkhstan region,Neoplasm,0.0977,total,overall
2015,8,Jambyl region,Neoplasm,0.0892,total,overall
2015,9,Karaganda region,Neoplasm,0.0997,total,overall
2015,10,Kostanay region,Neoplasm,0.0964,total,overall
2015,11,Kyzylorda region,Neoplasm,0.0831,total,overall
2015,12,Mangystau region,Neoplasm,0.0626,total,overall
2015,13,South Kazakhstan region,Neoplasm,0.061,total,overall
2015,14,Pavlodar region,Neoplasm,0.1459,total,overall
2015,15,North Kazakhstan region,Neoplasm,0.1453,total,overall
2015,16,East Kazakhstan region,Neoplasm,0.1389,total,overall
2015,1,Nur-Sultan,Neoplasm,0.0956,total,overall
2015,2,Almaty,Neoplasm,0.0965,total,overall
2016,3,Akmola region,Neoplasm,0.1246,total,overall
