year,region_num,region_name,class,data_value,data_value_type,gender
2013,9,Karaganda region,Neoplasm,0.1112,rural,overall
2013,10,Kostanay region,Neoplasm,0.0779,rural,overall
2013,11,Kyzylorda region,Neoplasm,0.0765,rural,overall
2013,12,Mangystau region,Neoplasm,0.0477,rural,overall
2013,13,South Kazakhstan region,Neoplasm,0.046,rural,overall
2013,14,Pavlodar region,Neoplasm,0.1212,rural,overall
2013,15,North Kazakhstan region,Neoplasm,0.125,rural,overall
2013,16,East Kazakhstan region,Neoplasm,0.1262,rural,overall
2014,3,Akmola region,Neoplasm,0.1066,rural,overall
2014,4,Aktobe region,Neoplasm,0.0569,rural,overall
2014,5,Almaty region,Neoplasm,0.0648,rural,overall
2014,6,Atyrau region,Neoplasm,0.0843,rural,overall
2014,7,West Kazakkhstan region,Neoplasm,0.0914,rural,overall
2014,8,Jambyl region,Neoplasm,0.07,rural,overall
2014,9,Karaganda region,Neoplasm,0.0941,rural,overall
2014,10,Kostanay region,Neoplasm,0.0805,rural,overall
2014,11,Kyzylorda region,Neoplasm,0.0776,rural,overall
2014,12,Mangystau region,Neoplasm,0.0423,rural,overall
2014,13,South Kazakhstan region,Neoplasm,0.0416,rural,overall
2014,14,Pavlodar region,Neoplasm,0.1441,rural,overall
2014,15,North Kazakhstan region,Neoplasm,0.1224,rural,overall
2014,16,East Kazakhstan region,Neoplasm,0.1244,rural,overall
2015,3,Akmola region,Neoplasm,0.1081,rural,overall
2015,4,Aktobe region,Neoplasm,0.07,rural,overall
2015,5,Almaty region,Neoplasm,0.0637,rural,overall
2015,6,Atyrau region,Neoplasm,0.0819,rural,overall
2015,7,West Kazakkhstan region,Neoplasm,0.0907,rural,overall
2015,8,Jambyl region,Neoplasm,0.0726,rural,overall
2015,9,Karaganda region,Neoplasm,0.0851,rural,overall
2015,10,Kostanay region,Neoplasm,0.08,rural,overall
2015,11,Kyzylorda region,Neoplasm,0.0763,rural,overall
2015,12,Mangystau region,Neoplasm,0.0453,rural,overall
2015,13,South Kazakhstan region,Neoplasm,0.0519,rural,overall
2015,14,Pavlodar region,Neoplasm,0.1245,rural,overall
2015,15,North Kazakhstan region,Neoplasm,0.1131,rural,overall
2015,16,East Kazakhstan region,Neoplasm,0.1161,rural,overall
2016,3,Akmola region,Neoplasm,0.105,rural,overall
2016,4,Aktobe region,Neoplasm,0.0647,rural,overall
2016,5,Almaty region,Neoplasm,0.0559,rural,overall
2016,6,Atyrau region,Neoplasm,0.0791,rural,overall
2016,7,West Kazakkhstan region,Neoplasm,0.0886,rural,overall
2016,8,Jambyl region,Neoplasm,0.069,rural,overall
2016,9,Karaganda region,Neoplasm,0.0877,rural,overall
2016,10,Kostanay region,Neoplasm,0.0813,rural,overall
2016,11,Kyzylorda region,Neoplasm,0.0628,rural,overall
2016,12,Mangystau region,Neoplasm,0.0519,rural,overall
2016,13,South Kazakhstan region,Neoplasm,0.0456,rural,overall
2016,14,Pavlodar region,Neoplasm,0.1326,rural,overall
2016,15,North Kazakhstan region,Neoplasm,0.1005,rural,overall
2016,16,East Kazakhstan region,Neoplasm,0.1031,rural,overall
2017,3,Akmola region,Neoplasm,0.1023,rural,overall
2017,4,Aktobe region,Neoplasm,0.0632,rural,overall
2017,5,Almaty region,Neoplasm,0.0556,rural,overall
2017,6,Atyrau region,Neoplasm,0.076,rural,overall
2017,7,West Kazakkhstan region,Neoplasm,0.0913,rural,overall
2017,8,Jambyl region,Neoplasm,0.0666,rural,overall
2017,9,Karaganda region,Neoplasm,0.0739,rural,overall
2017,10,Kostanay region,Neoplasm,0.0807,rural,overall
2017,11,Kyzylorda region,Neoplasm,0.0578,rural,overall
2017,12,Mangystau region,Neoplasm,0.05,rural,overall
2017,13,South Kazakhstan region,Neoplasm,0.0508,rural,overall
2017,14,Pavlodar region,Neoplasm,0.1118,rural,overall
2017,15,North Kazakhstan region,Neoplasm,0.0988,rural,overall
2017,16,East Kazakhstan region,Neoplasm,0.103,rural,overall
2018,3,Akmola region,Neoplasm,0.0897,rural,overall
2018,4,Aktobe region,Neoplasm,0.0564,rural,overall
2018,5,Almaty region,Neoplasm,0.0503,rural,overall
2018,6,Atyrau region,Neoplasm,0.0595,rural,overall
2018,7,West Kazakkhstan region,Neoplasm,0.089,rural,overall
2018,8,Jambyl region,Neoplasm,0.0616,rural,overall
2018,9,Karaganda region,Neoplasm,0.0818,rural,overall
2018,10,Kostanay region,Neoplasm,0.0795,rural,overall
2018,11,Kyzylorda region,Neoplasm,0.0555,rural,overall
2018,12,Mangystau region,Neoplasm,0.0444,rural,overall
2018,13,South Kazakhstan region,Neoplasm,0.0449,rural,overall
2018,14,Pavlodar region,Neoplasm,0.1051,rural,overall
2018,15,North Kazakhstan region,Neoplasm,0.0933,rural,overall
2018,16,East Kazakhstan region,Neoplasm,0.1046,rural,overall
2019,3,Akmola region,Neoplasm,0.0953,rural,overall
2019,4,Aktobe region,Neoplasm,0.059,rural,overall
2019,5,Almaty region,Neoplasm,0.0502,rural,overall
2019,6,Atyrau region,Neoplasm,0.0608,rural,overall
2019,7,West Kazakkhstan region,Neoplasm,0.0799,rural,overall
2019,8,Jambyl region,Neoplasm,0.0579,rural,overall
2019,9,Karaganda region,Neoplasm,0.0786,rural,overall
2019,10,Kostanay region,Neoplasm,0.0743,rural,overall
2019,11,Kyzylorda region,Neoplasm,0.0568,rural,overall
2019,12,Mangystau region,Neoplasm,0.0451,rural,overall
2019,13,South Kazakhstan region,Neoplasm,0.0482,rural,overall
2019,14,Pavlodar region,Neoplasm,0.1069,rural,overall
2019,15,North Kazakhstan region,Neoplasm,0.0954,rural,overall
2019,16,East Kazakhstan region,Neoplasm,0.1043,rural,overall
2020,3,Akmola region,Neoplasm,0.0805,rural,overall
2020,4,Aktobe region,Neoplasm,0.054,rural,overall
2020,5,Almaty region,Neoplasm,0.0528,rural,overall
2020,6,Atyrau region,Neoplasm,0.0523,rural,overall
2020,7,West Kazakkhstan region,Neoplasm,0.086,rural,overall
2020,8,Jambyl region,Neoplasm,0.0531,rural,overall
2020,9,Karaganda region,Neoplasm,0.0821,rural,overall
2020,10,Kostanay region,Neoplasm,0.0707,rural,overall
2020,11,Kyzylorda region,Neoplasm,0.0599,rural,overall
2020,12,Mangystau region,Neoplasm,0.0401,rural,overall
2020,13,South Kazakhstan region,Neoplasm,0.0492,rural,overall
2020,14,Pavlodar region,Neoplasm,0.1095,rural,overall
2020,15,North Kazakhstan region,Neoplasm,0.0706,rural,overall
2020,16,East Kazakhstan region,Neoplasm,0.1064,rural,overall
